ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
808,4/25/24 8:08:53,4/25/24 8:53:35,anonymous,,,2,3,4,2,2,3,2,1 - Highest ,,,Realistic faculty workloads,Teaching resources,Replace student evaluations,,,1 - Highest,5 - Lowest,2,1 - Highest,1 - Highest,4,2,2,5 - Lowest,Enter unionize faculty and enter into collective bargaining agreement. ,Unionize,,,,,,2,3,3,2,3,3,2,2,,Academic Freedom,,,,,,3,2,3,3,3,3,2,"The grants planning, administration & budgeting process is baffling and seems to get more confusing every year.  ",Grants,,,,,,Seattle,,UWS - School of Public Health,,,Associate Research Professor,,Male,
607,4/23/24 14:30:03,4/23/24 14:42:45,anonymous,,,1 - Highest ,4,2,3,1 - Highest ,3,5 - Lowest,1 - Highest ,"Have clear expectations for whether we are going to be in-person teachers or more online/hybrid. Personally, I fear many faculty are lazily moving toward online/hybrid classes because they believe it's ""easier""; however national data has shown that students engage less and don't learn as much. I'm not saying all classes should be in-person but it seems like, post-pandemic, UW tri-campus leadership is too scared to make and enforce rules related to this.",In-Person Classes,Realistic faculty workloads,Replace student evaluations,Teaching resources,,,5 - Lowest,1 - Highest,1 - Highest,1 - Highest,4,2,2,1 - Highest,1 - Highest,"The second to last one on the list ""Request the UW administration...to come up with a shared vision..."" echoes what I stated above. Related, I'm for more clear definitive leadership but also respect that all three campuses are different. Also, please have more advocacy to increase state funding for UW Bothell since it hasn't been updated in 20 plus years (and has more costs than Tacoma does, which receives more state support).Related to financial support, also get rid of the RCM financial structure as it's caused more problems than solved.",UW Bothell,Shared vision of leadership,Decrease pay gap,Create officer for faculty wellbeing,,,3,2,1 - Highest,2,4,3,1 - Highest,3,,Academic Freedom,Access to mental health,Leadership training,Family tuition rates,,,3,3,1 - Highest,3,3,3,1 - Highest,,,More research platforms,Database of research staff,Free grant support resources,,,Bothell,,UWB - School of Interdisciplinary Arts & Sciences,,,Associate Teaching Professor,,Prefer not to share,
576,4/21/24 17:28:32,4/21/24 17:38:36,anonymous,,,2,1 - Highest ,2,2,1 - Highest ,2,1 - Highest ,1 - Highest ,"Faculty salaries keeping up with COL in Seattle, reducing the red tape required to do every little thing (death by 1000 paper cuts), providing state of the art classrooms (why does Sieg still have chalk boards and tiny desks that don't fit our students?), providing proper mental health support for our students, allowing us to do something about attendance (allow it to count toward grade with exceptions??)",Pay,Upgrade technology,Mentoring for teaching,Training for mentoring graduate students,,,2,2,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,4,1 - Highest,"Please bring back the UW club - there is no place close by for faculty to take visitors or get a healthy lunch or get a drink with a colleague to discuss challenges - this community building is SO important to faculty

Mental health support for students so that faculty are not dealing with the brunt of it

Upgrading disability support services 

Provide adequate resources to departments to assure safety",UW Club,Create officer for faculty wellbeing,Decrease pay gap,Salary compression,,,2,2,1 - Highest,1 - Highest,4,1 - Highest,1 - Highest,3,,Academic Freedom,Upgrade office spaces,Access to mental health,Safety programs,,,1 - Highest,2,3,2,4,2,3,"Upgrades to research spaces that are climate resilient (many spaces are not air conditioned and over heat in the summer - on smoke days, these are also uninhabitable) ",Safe Buildings,Free grant support resources,Co-create funding methods,Update lab equipment,funds to allow faculty to travel to conferences and/or cover open access publishing fees,,Seattle,,UWS - College of Engineering,,,Professor,,Female,
581,4/22/24 10:28:44,4/22/24 10:33:40,anonymous,,,1 - Highest ,2,1 - Highest ,1 - Highest ,2,2,3,1 - Highest ,,Increase Student Support,Three-year teaching schedule,Realistic faculty workloads,Mentoring for teaching,,,2,2,1 - Highest,1 - Highest,2,1 - Highest,2,3,2,,,Salary structure,Decrease pay gap,Salary raises,,,2,2,2,2,2,2,2,1 - Highest,,Academic Freedom,,,,,,,,,,,,,,,,,,,,Seattle,,UWS - School of Nursing,,,,,,
401,4/16/24 10:00:31,4/16/24 10:05:06,anonymous,,,2,2,4,4,3,2,1 - Highest ,1 - Highest ,,,Realistic faculty workloads,Training for mentoring graduate students,Course release,,,2,2,2,1 - Highest,1 - Highest,2,1 - Highest,3,3,,,Decrease pay gap,Salary compression,Transparent merit process,,,1 - Highest,2,2,2,3,3,1 - Highest,3,,Academic Freedom,Climate for discourse,Access to mental health,Family tuition rates,,,1 - Highest,1 - Highest,3,2,2,3,3,,,Free grant support resources,Access to indirect costs,Create research methods series,,,Seattle,,UWS - College of Education,,,Associate Professor,,Female,
187,4/15/24 16:38:19,4/15/24 16:42:10,anonymous,,,2,3,2,4,1 - Highest ,2,2,1 - Highest ,,Covid,Replace student evaluations,Realistic faculty workloads,Mentoring for teaching,,,3,3,1 - Highest,1 - Highest,1 - Highest,2,2,3,2,,HR Resources,Decrease pay gap,Salary structure,Transparent merit process,,,3,3,2,3,2,3,1 - Highest,2,,All Gender Restrooms,Family tuition rates,Co-locate faculty,,,,2,2,4,4,4,4,2,,,,,,,,Tacoma,,UWT - School of Education,,,Assistant Teaching Professor,,Female,
746,4/24/24 14:06:53,4/24/24 14:29:27,anonymous,,,2,2,2,3,3,5 - Lowest,4,2,Allow for modification of clinic template when a learner is assigned so that faculty can spend adequate time for clinical bedside teaching and not need to work after-hours or run behind in clinic to accommodate learners. This creates an unsafe and unsatisfactory teaching environment both for faculty and learners.,Clinical,Realistic faculty workloads,Mentoring for teaching,Teaching resources,,,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,4,3,"Address inequities in salaries across different specialties and acknowledge the contributions of non-surgical divisions, faculty in contributing to multi-disciplinary care which brings patients in for surgeries or admission to the hospital in the first place. ",Pay,"Address inequities in salaries across different specialties and acknowledge the contributions of non-surgical divisions, faculty in contributing to multi-disciplinary care which brings patients in for surgeries or admission to the hospital in the first place. ",Transparent merit process,Salary raises,,,3,2,2,4,1 - Highest,1 - Highest,2,2,expand bereavement leave. 3 days is inequitable for those who have families across or outside of the U.S.,Bereavement Leave,Co-locate faculty,Upgrade office spaces,Leadership training,,,1 - Highest,2,2,1 - Highest,3,4,1 - Highest,Increase the internal grant funding available to match the increasing costs of data and statistical support. Create a free consultation service for clinician-scholar track faculty trying to design a research study.,Grants,Free grant support resources,Co-create funding methods,Database of research staff,,,Seattle,,UWS - School of Medicine,,,Assistant Professor,,Female,
461,4/16/24 14:29:46,4/16/24 14:33:42,anonymous,,,4,3,1 - Highest ,1 - Highest ,2,3,1 - Highest ,1 - Highest ,,,Three-year teaching schedule,Training for mentoring graduate students,Realistic faculty workloads,,,4,4,2,1 - Highest,2,1 - Highest,2,4,4,,,Salary raises,Decrease pay gap,Salary structure,,,1 - Highest,1 - Highest,1 - Highest,2,4,4,4,4,,Bereavement Leave,Climate for discourse,Access to mental health,Leadership training,,,2,2,3,3,3,2,2,,,Free grant support resources,More research platforms,Co-create funding methods,,,Seattle,,UWS - College of Education,,,Lecturer,,Female,
228,4/15/24 15:57:08,4/15/24 17:19:58,anonymous,,,2,3,2,5 - Lowest,4,3,4,1 - Highest ,"1. Address pay inequity within and between ranks. Including teaching/tenure tracks.
2. Reduce teaching expectations across the board for all faculty.
3. Hire adequate faculty to cover for faculty illnesses and sabbaticals.",Pay,Realistic faculty workloads,Mentoring for teaching,Teaching resources,,,4,2,2,1 - Highest,1 - Highest,3,3,4,5 - Lowest,"1. ELIMINATE the pay gap between teaching and tenured. (All our neighbor institutions have no gap at al.)
2. Eliminate percentage based pay increases that create the inequity in the first place. Putting band-aids on when we are they ones doing the damage is just foolish.
3. Merit based increases should also be eliminated. They are only used for politics.",Pay Gap,Decrease pay gap,Transparent merit process,Leadership training ,,,1 - Highest,2,3,3,3,2,3,2,"1. Reduce the mental health strain UW puts on its faculty by placing them in resource starved, highly competitive environments. We should be proactive - not reactive.
2. Make faculty and student safety a priority over institutional safety. (We make choices based on liability to avoid litigation instead of prioritizing the safety of our people.)
3. Provide support for collaboration instead of just an expectation for it.
4. Don't hire without having adequate space for the new faculty and students.

",Campus Safety,Climate for discourse,Create organizational charts,Upgrade office spaces,,,3,4,5 - Lowest,3,2,1 - Highest,3,"1. Turn down the research pressure cooker!
2. Train faculty to evaluate quality over quantity.
3. Include teaching faculty in research discussions and end the toxic claim that teaching faculty are somehow ill-equipped to evaluate research faculty.",Quality Research,Update lab equipment,Create research methods series,Co-create funding methods,"Support faculty unionization and collective bargaining.
",,Tacoma,,UWT - School of Engineering & Technology,,,Teaching Professor,,Something else,cmarriot
168,4/15/24 16:10:36,4/15/24 16:33:07,anonymous,,,2,2,2,2,1 - Highest ,1 - Highest ,1 - Highest ,1 - Highest ,"The quarter system makes the balance between teaching and research extremely difficult. There is no balance. I consider myself to be a high-performing scholar, educator, and committee member who has been able to maintain a general balance between my work and life outside of work. But I have never felt so burnt out in my life. Coming out of Covid burnout into an environment that continues to demand more and more of faculty is not sustainable. The lack of breathing room between quarters to appropriately prepare for courses, mentor PhD and graduate students in that preparation, not to mention grant and publication deadlines that tend to favor a majority of schools on the semester system means that I am always feeling behind. I have had to ask for so many extensions this year, yet prior I have always met my deadlines. I know students feel this way too, as they compete with students on semester schedules for internships and jobs, putting them at a disadvantage. It is so discouraging.

The action item I would like to see is for the UW system to shift from quarters to semesters. Quarters are not equitable unless faculty are given courses releases in between quarters. ",Semester,Other,Realistic faculty workloads,Course release,,,2,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,2,2,"In order to address pay gaps (there are pay gaps across gender and race, also), compression, and other inequitable circumstances with faculty salaries, cost of living MUST be included in the context of these considerations. If this is guided by peer institutions, the same salary in Idaho is not an equivalent form of measure.",Pay Gap,Salary raises,Salary structure,Leadership training ,,,2,1 - Highest,2,2,2,2,3,1 - Highest,,Campus Safety,Create organizational charts,Leadership training,Upgrade office spaces,,,1 - Highest,1 - Highest,2,1 - Highest,2,1 - Highest,2,"The grants and budget administration within colleges and across the university make it EXTREMELY difficult to do funded projects. This is contributing to my burn out, and is discouraging from continuing to seek grant funding. It is so much more work to administer a grant than it should be. No matter how many ""trainings"" I've attended, I leave more confused. Every project is circumstantial, and there are too many administrative barriers in place to make it worthwhile.",Grants,Free grant support resources,Access to indirect costs,Update lab equipment,,,Seattle,,UWS - College of Built Environments,,,Associate Professor,,Female,
